id,kfold,sentiment,rf_lsa_pred
167,0,1,0.615
168,0,0,0.405
169,0,1,0.475
170,0,0,0.345
171,0,1,0.445
172,0,1,0.665
173,0,1,0.445
174,0,1,0.715
175,0,1,0.7
176,0,1,0.625
177,0,0,0.67
178,0,1,0.53
179,0,1,0.74
180,0,1,0.55
181,0,0,0.22
182,0,1,0.775
183,0,1,0.76
184,0,1,0.595
185,0,0,0.285
186,0,0,0.4
187,0,0,0.415
188,0,1,0.62
189,0,1,0.74
190,0,1,0.565
191,0,0,0.315
192,0,0,0.35
193,0,0,0.345
194,0,0,0.645
195,0,0,0.26
196,0,1,0.71
197,0,0,0.365
198,0,0,0.38
199,0,1,0.65
200,0,1,0.385
201,0,0,0.42
202,0,0,0.17
203,0,0,0.39
204,0,0,0.3
205,0,1,0.67
206,0,1,0.38
207,0,1,0.555
208,0,1,0.615
209,0,1,0.725
210,0,0,0.475
211,0,0,0.2
212,0,1,0.62
213,0,0,0.575
214,0,0,0.41
215,0,1,0.825
216,0,0,0.485
217,0,1,0.42
218,0,0,0.59
219,0,1,0.445
220,0,1,0.675
221,0,0,0.165
222,0,1,0.5
223,0,1,0.61
224,0,1,0.725
225,0,1,0.63
226,0,1,0.73
227,0,1,0.535
228,0,0,0.25
229,0,0,0.5
230,0,1,0.575
231,0,0,0.285
232,0,1,0.615
233,0,0,0.495
234,0,1,0.635
235,0,1,0.545
236,0,1,0.625
237,0,0,0.485
238,0,0,0.23
239,0,1,0.455
240,0,0,0.23
241,0,0,0.21
242,0,1,0.535
243,0,1,0.785
244,0,0,0.215
245,0,0,0.375
246,0,0,0.21
247,0,1,0.895
248,0,0,0.33
249,0,1,0.505
250,0,1,0.735
251,0,1,0.685
252,0,0,0.38
253,0,0,0.385
254,0,0,0.375
255,0,1,0.75
256,0,1,0.605
257,0,0,0.14
258,0,0,0.41
259,0,1,0.68
260,0,0,0.1
261,0,1,0.47
262,0,1,0.565
263,0,0,0.285
264,0,0,0.435
265,0,1,0.815
266,0,1,0.595
267,0,1,0.665
268,0,0,0.355
269,0,1,0.79
270,0,0,0.25
271,0,0,0.175
272,0,0,0.475
273,0,0,0.535
274,0,1,0.465
275,0,1,0.51
276,0,1,0.605
277,0,0,0.4
278,0,0,0.485
279,0,1,0.3
280,0,0,0.485
281,0,1,0.52
282,0,0,0.41
283,0,1,0.71
284,0,1,0.55
285,0,1,0.82
286,0,0,0.38
287,0,1,0.76
288,0,1,0.815
289,0,0,0.25
290,0,0,0.45
291,0,1,0.635
292,0,1,0.465
293,0,1,0.515
294,0,0,0.38
295,0,1,0.745
296,0,1,0.51
297,0,1,0.47
298,0,0,0.43
299,0,0,0.34
300,0,1,0.435
301,0,0,0.555
302,0,1,0.695
303,0,0,0.225
304,0,1,0.69
305,0,1,0.785
306,0,0,0.25
307,0,0,0.33
308,0,1,0.84
309,0,1,0.745
310,0,0,0.365
311,0,1,0.38
312,0,0,0.38
313,0,0,0.265
314,0,1,0.695
315,0,0,0.465
316,0,1,0.545
317,0,0,0.575
318,0,1,0.305
319,0,1,0.41
320,0,0,0.105
321,0,1,0.525
322,0,0,0.315
323,0,0,0.215
324,0,0,0.565
325,0,1,0.72
326,0,1,0.6
327,0,1,0.685
328,0,1,0.54
329,0,0,0.255
330,0,0,0.46
331,0,0,0.21
332,0,1,0.635
333,0,0,0.345
334,0,1,0.605
335,0,1,0.585
336,0,1,0.765
337,0,1,0.83
338,0,0,0.735
339,0,1,0.6
340,0,0,0.375
341,0,1,0.62
342,0,0,0.405
343,0,0,0.17
344,0,0,0.165
345,0,0,0.26
346,0,1,0.745
347,0,1,0.685
348,0,1,0.5
349,0,1,0.45
350,0,1,0.48
351,0,1,0.5
352,0,1,0.6
353,0,0,0.585
354,0,1,0.585
355,0,0,0.145
356,0,1,0.625
357,0,0,0.43
358,0,1,0.64
359,0,0,0.395
360,0,0,0.395
361,0,1,0.63
362,0,0,0.425
363,0,1,0.595
364,0,1,0.735
365,0,0,0.545
366,0,1,0.725
367,0,0,0.375
368,0,0,0.71
369,0,1,0.805
370,0,1,0.71
371,0,0,0.26
372,0,0,0.19
373,0,0,0.24
374,0,1,0.395
375,0,1,0.69
376,0,0,0.31
377,0,0,0.22
378,0,1,0.365
379,0,0,0.2
380,0,1,0.665
381,0,1,0.625
382,0,1,0.73
383,0,1,0.745
384,0,0,0.29
385,0,0,0.565
386,0,0,0.485
387,0,1,0.65
388,0,1,0.58
389,0,0,0.395
390,0,0,0.51
391,0,1,0.77
392,0,0,0.6
393,0,1,0.475
394,0,1,0.77
395,0,0,0.385
396,0,1,0.8
397,0,0,0.495
398,0,0,0.19
399,0,0,0.465
400,0,0,0.165
401,0,1,0.62
402,0,1,0.515
403,0,1,0.605
404,0,1,0.595
405,0,1,0.84
406,0,0,0.535
407,0,0,0.105
408,0,0,0.28
409,0,0,0.51
410,0,1,0.75
411,0,0,0.48
412,0,1,0.43
413,0,1,0.615
414,0,1,0.565
415,0,1,0.55
416,0,1,0.595
417,0,0,0.22
418,0,1,0.765
419,0,1,0.83
420,0,1,0.69
421,0,0,0.35
422,0,1,0.565
423,0,1,0.525
424,0,1,0.77
425,0,0,0.17
426,0,1,0.64
427,0,0,0.12
428,0,1,0.53
429,0,0,0.435
430,0,1,0.825
431,0,0,0.2
432,0,1,0.875
433,0,0,0.295
434,0,1,0.655
435,0,1,0.62
436,0,1,0.475
437,0,1,0.74
438,0,1,0.675
439,0,1,0.49
440,0,1,0.715
441,0,0,0.345
442,0,0,0.405
443,0,0,0.595
444,0,1,0.585
445,0,0,0.23
446,0,1,0.545
447,0,1,0.645
448,0,1,0.765
449,0,0,0.2
450,0,0,0.445
451,0,0,0.32
452,0,0,0.28
453,0,1,0.395
454,0,1,0.81
455,0,0,0.345
456,0,0,0.195
457,0,1,0.805
458,0,0,0.5
459,0,0,0.435
460,0,0,0.48
461,0,1,0.85
462,0,0,0.515
463,0,1,0.655
464,0,1,0.47
465,0,1,0.485
466,0,0,0.26
467,0,0,0.12
468,0,0,0.21
469,0,1,0.8
470,0,1,0.535
471,0,0,0.33
472,0,0,0.68
473,0,0,0.37
474,0,1,0.675
475,0,0,0.385
476,0,0,0.26
477,0,0,0.5
478,0,1,0.725
479,0,1,0.51
480,0,1,0.675
481,0,0,0.17
482,0,1,0.45
483,0,0,0.37
484,0,1,0.57
485,0,1,0.695
486,0,1,0.65
487,0,0,0.515
488,0,0,0.675
489,0,1,0.39
490,0,1,0.435
491,0,0,0.165
492,0,0,0.335
493,0,0,0.32
494,0,0,0.27
495,0,0,0.19
496,0,1,0.455
497,0,0,0.25
498,0,0,0.275
499,0,1,0.49
500,0,0,0.11
501,0,0,0.16
502,0,0,0.425
503,0,1,0.38
504,0,0,0.215
505,0,0,0.58
506,0,1,0.805
507,0,1,0.615
508,0,0,0.5
509,0,1,0.705
510,0,1,0.87
511,0,1,0.64
512,0,0,0.63
513,0,0,0.6
514,0,0,0.505
515,0,0,0.485
516,0,1,0.735
517,0,0,0.15
518,0,0,0.365
519,0,0,0.13
520,0,0,0.43
521,0,1,0.42
522,0,1,0.65
523,0,1,0.765
524,0,0,0.395
525,0,1,0.675
526,0,0,0.14
527,0,0,0.445
528,0,0,0.515
529,0,0,0.475
530,0,1,0.55
531,0,1,0.8
532,0,0,0.21
533,0,1,0.66
534,0,1,0.645
535,0,0,0.4
536,0,1,0.78
537,0,0,0.55
538,0,1,0.76
539,0,1,0.69
540,0,1,0.365
541,0,0,0.74
542,0,0,0.62
543,0,0,0.205
544,0,0,0.4
545,0,1,0.675
546,0,1,0.665
547,0,0,0.515
548,0,0,0.695
549,0,1,0.39
550,0,0,0.145
551,0,1,0.865
552,0,1,0.625
553,0,1,0.725
554,0,1,0.785
555,0,0,0.43
556,0,1,0.6
557,0,0,0.47
558,0,1,0.55
559,0,1,0.76
560,0,1,0.85
561,0,1,0.725
562,0,0,0.305
563,0,1,0.925
564,0,0,0.305
565,0,1,0.785
566,0,0,0.57
567,0,1,0.54
568,0,0,0.455
569,0,0,0.29
570,0,0,0.28
571,0,0,0.505
572,0,1,0.54
573,0,1,0.83
574,0,0,0.21
575,0,1,0.57
576,0,0,0.325
577,0,0,0.31
578,0,1,0.775
579,0,1,0.875
580,0,0,0.28
581,0,0,0.4
582,0,0,0.49
583,0,0,0.24
584,0,1,0.575
585,0,1,0.845
586,0,0,0.27
587,0,0,0.52
588,0,1,0.9
589,0,1,0.43
590,0,1,0.515
591,0,0,0.39
592,0,0,0.17
593,0,0,0.19
594,0,1,0.655
595,0,0,0.29
596,0,1,0.39
597,0,1,0.645
598,0,1,0.685
599,0,0,0.48
600,0,0,0.415
601,0,1,0.445
602,0,1,0.36
603,0,0,0.355
604,0,0,0.32
605,0,1,0.505
606,0,0,0.315
607,0,0,0.19
608,0,0,0.195
609,0,0,0.2
610,0,0,0.12
611,0,0,0.635
612,0,1,0.54
613,0,0,0.45
614,0,1,0.57
615,0,0,0.33
616,0,0,0.47
617,0,0,0.225
618,0,1,0.46
619,0,0,0.085
620,0,0,0.505
621,0,0,0.425
622,0,0,0.375
623,0,1,0.69
624,0,0,0.365
625,0,0,0.19
626,0,0,0.275
627,0,0,0.6
628,0,0,0.58
629,0,0,0.225
630,0,1,0.66
631,0,1,0.82
632,0,1,0.61
633,0,0,0.205
634,0,0,0.25
635,0,1,0.575
636,0,1,0.72
637,0,1,0.61
638,0,0,0.32
639,0,0,0.465
640,0,0,0.33
641,0,1,0.585
642,0,0,0.37
643,0,0,0.305
644,0,1,0.675
645,0,1,0.315
646,0,1,0.875
647,0,0,0.195
648,0,1,0.585
649,0,0,0.24
650,0,0,0.325
651,0,1,0.84
652,0,0,0.375
653,0,0,0.175
654,0,1,0.44
655,0,1,0.61
656,0,0,0.38
657,0,1,0.78
658,0,0,0.55
659,0,0,0.46
660,0,0,0.44
661,0,1,0.57
662,0,1,0.65
663,0,0,0.48
664,0,0,0.25
665,0,1,0.44
666,0,0,0.13
667,0,1,0.585
668,0,1,0.5
669,0,1,0.525
670,0,0,0.28
671,0,1,0.605
672,0,0,0.175
673,0,1,0.73
674,0,0,0.67
675,0,0,0.18
676,0,1,0.635
677,0,1,0.455
678,0,1,0.595
679,0,0,0.155
680,0,1,0.385
681,0,0,0.35
682,0,0,0.24
683,0,1,0.36
684,0,1,0.54
685,0,1,0.83
686,0,1,0.58
687,0,0,0.165
688,0,0,0.335
689,0,1,0.735
690,0,0,0.165
691,0,0,0.315
692,0,0,0.315
693,0,0,0.455
694,0,1,0.7
695,0,1,0.64
696,0,0,0.31
697,0,1,0.675
698,0,0,0.68
699,0,1,0.54
700,0,1,0.705
701,0,1,0.455
702,0,1,0.35
703,0,0,0.78
704,0,0,0.465
705,0,1,0.895
706,0,0,0.635
707,0,1,0.87
708,0,0,0.235
709,0,0,0.64
710,0,1,0.92
711,0,0,0.235
712,0,1,0.67
713,0,0,0.435
714,0,1,0.305
715,0,1,0.56
716,0,1,0.78
717,0,1,0.705
718,0,0,0.265
719,0,1,0.5
720,0,1,0.67
721,0,1,0.545
722,0,1,0.785
723,0,0,0.04
724,0,1,0.805
725,0,0,0.195
726,0,0,0.565
727,0,1,0.725
728,0,0,0.405
729,0,1,0.48
730,0,1,0.675
731,0,1,0.585
732,0,1,0.76
733,0,1,0.915
734,0,0,0.43
735,0,1,0.64
736,0,1,0.685
737,0,1,0.545
738,0,0,0.2
739,0,0,0.575
740,0,1,0.68
741,0,0,0.455
742,0,1,0.295
743,0,1,0.76
744,0,1,0.555
745,0,1,0.62
746,0,1,0.6
747,0,1,0.795
748,0,1,0.565
749,0,0,0.265
750,0,0,0.205
751,0,1,0.59
752,0,1,0.59
753,0,0,0.15
754,0,0,0.565
755,0,1,0.75
756,0,0,0.22
757,0,1,0.745
758,0,1,0.79
759,0,1,0.65
760,0,1,0.645
761,0,0,0.455
762,0,0,0.535
763,0,0,0.34
764,0,1,0.445
765,0,1,0.745
766,0,1,0.41
767,0,0,0.515
768,0,0,0.51
769,0,0,0.34
770,0,1,0.605
771,0,1,0.6
772,0,1,0.54
773,0,0,0.445
774,0,1,0.24
775,0,1,0.585
776,0,1,0.815
777,0,1,0.71
778,0,0,0.615
779,0,0,0.11
780,0,0,0.35
781,0,1,0.555
782,0,1,0.495
783,0,0,0.61
784,0,0,0.375
785,0,1,0.585
786,0,0,0.08
787,0,0,0.085
788,0,0,0.39
789,0,1,0.755
790,0,1,0.565
791,0,1,0.685
792,0,0,0.56
793,0,1,0.72
794,0,0,0.11
795,0,0,0.26
796,0,1,0.4
797,0,0,0.28
798,0,0,0.25
799,0,1,0.505
800,0,0,0.305
801,0,0,0.065
802,0,0,0.565
803,0,0,0.365
804,0,1,0.25
805,0,1,0.43
806,0,1,0.69
807,0,1,0.88
808,0,0,0.2
809,0,1,0.58
810,0,1,0.69
811,0,0,0.435
812,0,0,0.27
813,0,1,0.505
814,0,1,0.605
815,0,1,0.55
816,0,0,0.47
817,0,0,0.29
818,0,0,0.36
819,0,1,0.865
820,0,0,0.125
821,0,0,0.29
822,0,1,0.655
823,0,0,0.37
824,0,0,0.395
825,0,0,0.575
826,0,1,0.24
827,0,1,0.785
828,0,0,0.6
829,0,1,0.64
830,0,0,0.325
831,0,0,0.575
832,0,0,0.225
833,0,1,0.695
834,0,1,0.445
835,0,0,0.33
836,0,0,0.355
837,0,0,0.215
838,0,1,0.51
839,0,1,0.77
840,0,0,0.23
841,0,0,0.165
842,0,1,0.755
843,0,0,0.28
844,0,1,0.665
845,0,1,0.865
846,0,1,0.575
847,0,0,0.35
848,0,0,0.38
849,0,0,0.355
850,0,0,0.275
851,0,1,0.695
852,0,0,0.03
853,0,1,0.635
854,0,1,0.68
855,0,0,0.385
856,0,0,0.285
857,0,0,0.24
858,0,0,0.425
859,0,0,0.31
860,0,0,0.34
861,0,0,0.185
862,0,1,0.78
863,0,0,0.26
864,0,1,0.625
865,0,0,0.35
866,0,0,0.42
867,0,0,0.305
868,0,0,0.19
869,0,1,0.705
870,0,1,0.445
871,0,1,0.64
872,0,1,0.56
873,0,0,0.67
874,0,1,0.745
875,0,0,0.165
876,0,0,0.45
877,0,0,0.315
878,0,1,0.735
879,0,0,0.745
880,0,1,0.65
881,0,1,0.7
882,0,1,0.695
883,0,0,0.49
884,0,0,0.445
885,0,1,0.52
886,0,0,0.42
887,0,1,0.685
888,0,0,0.375
889,0,0,0.525
890,0,1,0.595
891,0,1,0.84
892,0,1,0.605
893,0,1,0.66
894,0,0,0.215
895,0,1,0.615
896,0,1,0.61
897,0,1,0.745
898,0,0,0.13
899,0,0,0.455
900,0,1,0.6
901,0,0,0.305
902,0,1,0.87
903,0,1,0.515
904,0,0,0.505
905,0,0,0.16
906,0,1,0.59
907,0,1,0.785
908,0,1,0.535
909,0,0,0.275
910,0,0,0.39
911,0,1,0.36
912,0,1,0.755
913,0,1,0.73
914,0,1,0.545
915,0,0,0.34
916,0,1,0.77
917,0,1,0.71
918,0,1,0.78
919,0,0,0.25
920,0,0,0.4
921,0,1,0.455
922,0,0,0.43
923,0,1,0.78
924,0,0,0.315
925,0,0,0.235
926,0,0,0.415
927,0,0,0.645
928,0,0,0.055
929,0,0,0.32
930,0,0,0.365
931,0,0,0.315
932,0,0,0.44
933,0,0,0.425
934,0,0,0.48
935,0,0,0.145
936,0,0,0.19
937,0,1,0.69
938,0,1,0.675
939,0,1,0.765
940,0,1,0.485
941,0,1,0.855
942,0,1,0.745
943,0,1,0.91
944,0,1,0.425
945,0,0,0.21
946,0,1,0.795
947,0,1,0.74
948,0,0,0.32
949,0,0,0.28
950,0,0,0.195
951,0,0,0.405
952,0,1,0.485
953,0,0,0.53
954,0,0,0.265
955,0,1,0.625
956,0,1,0.805
957,0,0,0.17
958,0,1,0.705
959,0,1,0.79
960,0,1,0.57
961,0,1,0.78
962,0,0,0.355
963,0,0,0.115
964,0,1,0.09
965,0,1,0.605
966,0,1,0.64
967,0,0,0.34
968,0,0,0.49
969,0,0,0.26
970,0,1,0.635
971,0,0,0.24
972,0,0,0.12
973,0,1,0.5
974,0,1,0.77
975,0,1,0.6
976,0,1,0.735
977,0,0,0.505
978,0,1,0.68
979,0,0,0.24
980,0,0,0.135
981,0,1,0.74
982,0,1,0.48
983,0,0,0.49
984,0,1,0.805
985,0,1,0.385
986,0,0,0.485
987,0,0,0.33
988,0,1,0.93
989,0,1,0.83
990,0,1,0.32
991,0,0,0.41
992,0,0,0.23
993,0,0,0.09
994,0,0,0.515
995,0,0,0.385
996,0,1,0.7
997,0,0,0.235
998,0,1,0.71
999,0,0,0.51
1000,0,0,0.525
1001,0,1,0.655
1002,0,1,0.625
1003,0,0,0.14
1004,0,1,0.655
1005,0,0,0.27
1006,0,1,0.67
1007,0,1,0.615
1008,0,0,0.33
1009,0,1,0.95
1010,0,0,0.65
1011,0,1,0.51
1012,0,1,0.72
1013,0,0,0.645
1014,0,0,0.475
1015,0,1,0.41
1016,0,1,0.58
1017,0,0,0.21
1018,0,1,0.835
1019,0,1,0.295
1020,0,1,0.6
1021,0,1,0.69
1022,0,1,0.845
1023,0,1,0.67
1024,0,0,0.41
1025,0,1,0.85
1026,0,1,0.65
1027,0,0,0.595
1028,0,0,0.445
1029,0,0,0.63
1030,0,0,0.465
1031,0,0,0.26
1032,0,1,0.605
1033,0,1,0.785
1034,0,1,0.405
1035,0,1,0.725
1036,0,0,0.47
1037,0,1,0.73
1038,0,1,0.89
1039,0,0,0.48
1040,0,0,0.245
1041,0,0,0.465
1042,0,0,0.585
1043,0,0,0.45
1044,0,0,0.135
1045,0,0,0.385
1046,0,0,0.705
1047,0,0,0.245
1048,0,0,0.34
1049,0,0,0.33
1050,0,0,0.235
1051,0,0,0.395
1052,0,0,0.29
1053,0,0,0.43
1054,0,1,0.42
1055,0,0,0.56
1056,0,1,0.82
1057,0,1,0.595
1058,0,0,0.46
1059,0,0,0.27
1060,0,1,0.41
1061,0,1,0.505
1062,0,1,0.445
1063,0,0,0.38
1064,0,1,0.86
1065,0,0,0.35
1066,0,0,0.385
1067,0,0,0.61
1068,0,0,0.16
1069,0,1,0.665
1070,0,1,0.8
1071,0,1,0.8
1072,0,0,0.395
1073,0,0,0.355
1074,0,1,0.305
1075,0,1,0.54
1076,0,1,0.88
1077,0,1,0.73
1078,0,1,0.74
1079,0,1,0.545
1080,0,0,0.395
1081,0,0,0.655
1082,0,1,0.79
1083,0,1,0.835
1084,0,1,0.315
1085,0,0,0.18
1086,0,0,0.56
1087,0,0,0.245
1088,0,1,0.115
1089,0,1,0.795
1090,0,1,0.66
1091,0,1,0.67
1092,0,1,0.78
1093,0,0,0.28
1094,0,0,0.29
1095,0,1,0.845
1096,0,1,0.54
1097,0,0,0.24
1098,0,1,0.5
1099,0,0,0.2
1100,0,1,0.735
1101,0,1,0.65
1102,0,0,0.515
1103,0,0,0.255
1104,0,0,0.405
1105,0,1,0.555
1106,0,0,0.315
1107,0,1,0.825
1108,0,0,0.455
1109,0,1,0.59
1110,0,1,0.83
1111,0,1,0.56
1112,0,0,0.48
1113,0,1,0.805
1114,0,1,0.51
1115,0,0,0.24
1116,0,0,0.11
1117,0,1,0.71
1118,0,0,0.215
1119,0,0,0.525
1120,0,0,0.195
1121,0,1,0.73
1122,0,1,0.555
1123,0,1,0.805
1124,0,0,0.345
1125,0,0,0.735
1126,0,0,0.575
1127,0,0,0.24
1128,0,1,0.645
1129,0,0,0.44
1130,0,1,0.63
1131,0,1,0.545
1132,0,0,0.295
1133,0,0,0.46
1134,0,1,0.645
1135,0,0,0.235
1136,0,0,0.27
1137,0,1,0.685
1138,0,1,0.675
1139,0,0,0.4
1140,0,0,0.375
1141,0,1,0.405
1142,0,1,0.715
1143,0,1,0.795
1144,0,1,0.485
1145,0,0,0.44
1146,0,0,0.34
1147,0,0,0.285
1148,0,1,0.745
1149,0,1,0.55
1150,0,0,0.165
1151,0,0,0.455
1152,0,1,0.735
1153,0,1,0.675
1154,0,1,0.685
1155,0,0,0.43
1156,0,0,0.41
1157,0,1,0.405
1158,0,0,0.645
1159,0,1,0.52
1160,0,1,0.4
1161,0,0,0.095
1162,0,0,0.53
1163,0,0,0.47
1164,0,1,0.775
1165,0,0,0.39
1166,0,1,0.8
1167,0,0,0.405
1168,0,0,0.445
1169,0,0,0.36
1170,0,1,0.82
1171,0,1,0.515
1172,0,0,0.355
1173,0,1,0.73
1174,0,0,0.545
1175,0,1,0.69
1176,0,1,0.57
1177,0,0,0.325
1178,0,0,0.625
1179,0,1,0.895
1180,0,0,0.275
1181,0,1,0.355
1182,0,0,0.345
1183,0,1,0.63
1184,0,1,0.675
1185,0,1,0.865
1186,0,1,0.63
1187,0,0,0.555
1188,0,0,0.19
1189,0,1,0.595
1190,0,1,0.42
1191,0,1,0.655
1192,0,0,0.14
1193,0,0,0.625
1194,0,0,0.255
1195,0,1,0.775
1196,0,0,0.43
1197,0,0,0.34
1198,0,0,0.34
1199,0,1,0.7
1200,0,1,0.595
1201,0,1,0.605
1202,0,1,0.88
1203,0,1,0.515
1204,0,1,0.505
1205,0,1,0.64
1206,0,0,0.43
1207,0,0,0.41
1208,0,1,0.35
1209,0,0,0.425
1210,0,1,0.59
1211,0,0,0.255
1212,0,0,0.21
1213,0,0,0.295
1214,0,1,0.35
1215,0,0,0.26
1216,0,1,0.71
1217,0,1,0.855
1218,0,1,0.345
1219,0,0,0.46
1220,0,1,0.57
1221,0,0,0.145
1222,0,1,0.66
1223,0,1,0.66
1224,0,1,0.73
1225,0,1,0.31
1226,0,1,0.61
1227,0,0,0.195
1228,0,0,0.245
1229,0,0,0.335
1230,0,0,0.29
1231,0,1,0.45
1232,0,0,0.24
1233,0,0,0.655
1234,0,0,0.155
1235,0,1,0.665
1236,0,1,0.675
1237,0,0,0.37
1238,0,1,0.49
1239,0,0,0.26
1240,0,1,0.755
1241,0,0,0.165
1242,0,1,0.83
1243,0,0,0.095
1244,0,1,0.52
1245,0,0,0.54
1246,0,1,0.685
1247,0,0,0.155
1248,0,0,0.255
1249,0,1,0.555
1250,0,0,0.255
1251,0,0,0.325
1252,0,1,0.6
1253,0,1,0.5
1254,0,0,0.555
1255,0,0,0.43
1256,0,0,0.285
1257,0,0,0.29
1258,0,1,0.53
1259,0,1,0.615
1260,0,0,0.355
1261,0,0,0.275
1262,0,0,0.485
1263,0,1,0.5
1264,0,0,0.375
1265,0,0,0.55
1266,0,1,0.49
1267,0,0,0.085
1268,0,1,0.64
1269,0,0,0.31
1270,0,0,0.13
1271,0,0,0.515
1272,0,1,0.63
1273,0,0,0.29
1274,0,0,0.24
1275,0,0,0.47
1276,0,1,0.715
1277,0,0,0.17
1278,0,1,0.705
1279,0,1,0.425
1280,0,0,0.075
1281,0,1,0.675
1282,0,1,0.805
1283,0,0,0.53
1284,0,0,0.51
1285,0,1,0.81
1286,0,0,0.14
1287,0,1,0.775
1288,0,1,0.64
1289,0,0,0.245
1290,0,1,0.87
1291,0,1,0.75
1292,0,1,0.44
1293,0,1,0.505
1294,0,1,0.75
1295,0,1,0.49
1296,0,1,0.81
1297,0,0,0.75
1298,0,0,0.275
1299,0,0,0.135
1300,0,1,0.59
1301,0,1,0.635
1302,0,0,0.355
1303,0,0,0.47
1304,0,0,0.155
1305,0,1,0.59
1306,0,1,0.805
1307,0,1,0.76
1308,0,0,0.37
1309,0,1,0.425
1310,0,0,0.19
1311,0,1,0.94
1312,0,0,0.55
1313,0,1,0.64
1314,0,1,0.62
1315,0,1,0.655
1316,0,0,0.235
1317,0,1,0.475
1318,0,1,0.54
1319,0,0,0.395
1320,0,0,0.615
1321,0,1,0.71
1322,0,1,0.295
1323,0,0,0.175
1324,0,0,0.245
1325,0,0,0.235
1326,0,0,0.185
1327,0,0,0.245
1328,0,0,0.42
1329,0,1,0.82
1330,0,0,0.155
1331,0,1,0.385
1332,0,1,0.725
1333,0,1,0.575
1334,0,1,0.79
1335,0,1,0.49
1336,0,1,0.57
1337,0,1,0.62
1338,0,0,0.295
1339,0,0,0.47
1340,0,0,0.275
1341,0,1,0.49
1342,0,0,0.52
1343,0,1,0.595
1344,0,1,0.735
1345,0,0,0.375
1346,0,1,0.785
1347,0,0,0.585
1348,0,0,0.245
1349,0,1,0.74
1350,0,1,0.39
1351,0,1,0.64
1352,0,0,0.5
1353,0,0,0.35
1354,0,0,0.435
1355,0,0,0.675
1356,0,0,0.205
1357,0,1,0.76
1358,0,1,0.59
1359,0,1,0.705
